         Date                                                                                            Artists                                                             Venue
176  11/30/19  Allah-Las                                                                                          Blueberry Hill Duck Room                                        
177  12/04/19  Jazz at Lincoln Center Orchestra: Wynton Marsalis                                                  Powell Symphony Hall                                            
178  12/05/19  Jon McLaughlin                                                                                     Blueberry Hill Duck Room                                        
179  12/06/19  Jim Brickman                                                                                       Touhill Performing Arts Center - Anheuser-Busch Performance Hall
180  12/06/19  Dailey and Vincent                                                                                 Sheldon Concert Hall                                            
181  12/06/19  O.A.R.                                                                                             The Pageant                                                     
182  12/07/19  Anacrusis                                                                                          Delmar Hall                                                     
183  12/07/19  Zeke Beats & G-Rex                                                                                 The Ready Room - St. Louis                                      
184  12/09/19  Batushka                                                                                           Delmar Hall                                                     
185  12/11/19  Steel Panther                                                                                      The Pageant                                                     
186  12/15/19  The Motet                                                                                          Old Rock House                                                  
187  12/20/19  SING! An Irish Christmas                                                                           Stifel Theatre                                                  
188  01/17/20  Ruthie Foster                                                                                      Sheldon Concert Hall                                            
189  02/08/20  Christian Sands                                                                                    Sheldon Concert Hall                                            
190  02/13/20  King Princess                                                                                      The Pageant                                                     
191  02/14/20  Dennis Deyoung                                                                                     River City Casino                                               
192  02/15/20  Dennis Deyoung                                                                                     River City Casino                                               
193  02/21/20  Kathy Mattea                                                                                       Sheldon Concert Hall                                            
194  02/22/20  Melba Moore                                                                                        Sheldon Concert Hall                                            
195  04/24/20  Asleep At The Wheel                                                                                Sheldon Concert Hall                                            
196  06/24/20  Ozzy Osbourne & Megadeth                                                                           Hollywood Casino Amphitheatre - MO                              
